File,TypeName,ScriptName,Match,Note
Sops/Buildings/AB.DestructionBuilding.1.0.hda,AB::DestructionBuilding::1.0,RFX::BD_downtown_building::3.0,MISMATCH,
Sops/Buildings/AB.DowntownBuilding.3.0.hda,AB::DowntownBuilding::3.0,RFX::BD_downtown_building::3.0,MISMATCH,
Sops/Buildings/AB.DowntownBuilding.3.1.hda,AB::DowntownBuilding::3.1,RFX::BD_downtown_building::3.0,MISMATCH,
Sops/Buildings/AB.DowntownBuilding.3.2.hda,AB::DowntownBuilding::3.2,RFX::BD_downtown_building::3.0,MISMATCH,
Sops/Buildings/AB.DowntownBuilding.3.3.hda,AB::DowntownBuilding::3.3,RFX::BD_downtown_building::3.0,MISMATCH,
Sops/Buildings/AB.DowntownBuilding.3.4.hda,AB::DowntownBuilding::3.4,RFX::BD_downtown_building::3.0,MISMATCH,
Sops/Buildings/AB.DowntownBuilding.3.5.hda,AB::DowntownBuilding::3.5,RFX::BD_downtown_building::3.0,MISMATCH,
Sops/Buildings/AB.DowntownBuilding.3.6.hda,AB::DowntownBuilding::3.6,RFX::BD_downtown_building::3.0,MISMATCH,
Sops/Buildings/AB.FuturisticBuildings.2.0.hda,AB::FuturisticBuildings::2.0,AOD::BD_shanty_sci_fi_buildings::1.0,MISMATCH,legacy AOD lineage
Sops/Buildings/AB.FuturisticBuildings.2.1.hda,AB::FuturisticBuildings::2.1,AOD::BD_shanty_sci_fi_buildings::1.0,MISMATCH,legacy AOD lineage
Sops/Buildings/AB.FuturisticBuildings.2.2.hda,AB::FuturisticBuildings::2.2,AOD::BD_shanty_sci_fi_buildings::1.0,MISMATCH,legacy AOD lineage
Sops/Buildings/AB.IndustrialBuildings.2.0.hda,AB::IndustrialBuildings::2.0,RFX::BD_industrial_buildings::1.0,MISMATCH,
Sops/Buildings/AB.IndustrialBuildings.2.1.hda,AB::IndustrialBuildings::2.1,RFX::BD_industrial_buildings::1.0,MISMATCH,
Sops/Buildings/AB.ResortGenerator.3.0.hda,AB::ResortGenerator::3.0,RFX.BD_resort_building.1.0,MISMATCH,
Sops/Buildings/AB.RetailBuildings.3.1.hda,AB::RetailBuildings::3.1,RFX::BD_retail_buildings::1.0,MISMATCH,
Sops/Buildings/AB.RetailBuildings.3.2.hda,AB::RetailBuildings::3.2,RFX::BD_retail_buildings::1.0,MISMATCH,
Sops/Buildings/AB.SkyscraperGenerator.2.0.hda,AB::SkyscraperGenerator::2.0,AOD::ModernBuildings::1.0,MISMATCH,legacy AOD lineage
