tool,inner_node,node_type,parm_family,n_referenced,n_in_family,confidence,literals,referenced
AB::HighwaySignGenerator::5.0,/obj/AnalysisHolder/probe_65/PrincipledMaterials/mats/Metal_GalvanizedRusty_01/surfaceexports1/bind8,bind,,1,4,medium,overridetype=1 useasparmdefiner=1 useownexportcontext=1 exportparm=1,parmname
AB::HighwaySignGenerator::5.0,/obj/AnalysisHolder/probe_65/PrincipledMaterials/mats/Metal_GalvanizedRusty_01/surfaceexports1/bind9,bind,,1,4,medium,overridetype=1 useasparmdefiner=1 useownexportcontext=1 exportparm=1,parmname
AB::HighwaySignGenerator::5.0,/obj/AnalysisHolder/probe_65/PrincipledMaterials/mats/Metal_GalvanizedRusty_01/surfaceexports1/bind10,bind,,1,4,medium,overridetype=1 useasparmdefiner=1 useownexportcontext=1 exportparm=1,parmname
AB::HighwaySignGenerator::5.0,/obj/AnalysisHolder/probe_65/PrincipledMaterials/mats/Metal_GalvanizedRusty_01/surfaceexports1/bind11,bind,,1,4,medium,overridetype=1 useasparmdefiner=1 useownexportcontext=1 exportparm=1,parmname
AB::HighwaySignGenerator::5.0,/obj/AnalysisHolder/probe_65/PrincipledMaterials/mats/Metal_GalvanizedRusty_01/surfaceexports1/bind12,bind,,1,4,medium,overridetype=1 useasparmdefiner=1 useownexportcontext=1 exportparm=1,parmname
AB::HighwaySignGenerator::5.0,/obj/AnalysisHolder/probe_65/PrincipledMaterials/mats/Metal_GalvanizedRusty_01/surfaceexports1/bind13,bind,,1,4,medium,overridetype=1 useasparmdefiner=1 useownexportcontext=1 exportparm=1,parmname
AB::HighwaySignGenerator::5.0,/obj/AnalysisHolder/probe_65/PrincipledMaterials/mats/Metal_GalvanizedRusty_01/surfaceexports1/bind14,bind,,1,4,medium,overridetype=1 useasparmdefiner=1 useownexportcontext=1 exportparm=1,parmname
AB::HighwaySignGenerator::5.0,/obj/AnalysisHolder/probe_65/PrincipledMaterials/mats/Metal_GalvanizedRusty_01/surfaceexports1/bind15,bind,,1,4,medium,overridetype=1 useasparmdefiner=1 useownexportcontext=1 exportparm=1,parmname
AB::HighwaySignGenerator::5.0,/obj/AnalysisHolder/probe_65/PrincipledMaterials/mats/Metal_GalvanizedRusty_01/surfaceexports1/bind16,bind,,1,4,medium,overridetype=1 useasparmdefiner=1 useownexportcontext=1 exportparm=1,parmname
AB::HighwaySignGenerator::5.0,/obj/AnalysisHolder/probe_65/PrincipledMaterials/mats/Metal_GalvanizedRusty_01/surfaceexports1/bind17,bind,,1,4,medium,overridetype=1 useasparmdefiner=1 useownexportcontext=1 exportparm=1,parmname
AB::HighwaySignGenerator::5.0,/obj/AnalysisHolder/probe_65/PrincipledMaterials/mats/Metal_GalvanizedRusty_01/surfaceexports1/bind18,bind,,1,4,medium,overridetype=1 useasparmdefiner=1 useownexportcontext=1 exportparm=1,parmname
AB::HighwaySignGenerator::5.0,/obj/AnalysisHolder/probe_65/PrincipledMaterials/mats/Metal_GalvanizedRusty_01/surfaceexports1/bind19,bind,,1,4,medium,overridetype=1 useasparmdefiner=1 useownexportcontext=1 exportparm=1,parmname
AB::HighwaySignGenerator::5.0,/obj/AnalysisHolder/probe_65/PrincipledMaterials/mats/Metal_GalvanizedRusty_01/surfaceexports1/bind20,bind,,1,4,medium,overridetype=1 useasparmdefiner=1 useownexportcontext=1 exportparm=1,parmname
AB::HighwaySignGenerator::5.0,/obj/AnalysisHolder/probe_65/PrincipledMaterials/mats/Metal_GalvanizedRusty_01/surfaceexports1/bind21,bind,,1,4,medium,overridetype=1 useasparmdefiner=1 useownexportcontext=1 exportparm=1,parmname
AB::HighwaySignGenerator::5.0,/obj/AnalysisHolder/probe_65/PrincipledMaterials/mats/Metal_GalvanizedRusty_01/surfaceexports1/bind22,bind,,1,4,medium,overridetype=1 useasparmdefiner=1 useownexportcontext=1 exportparm=1,parmname
AB::HighwaySignGenerator::5.0,/obj/AnalysisHolder/probe_65/PrincipledMaterials/mats/Metal_GalvanizedRusty_01/surfaceexports1/bind23,bind,,1,4,medium,overridetype=1 useasparmdefiner=1 useownexportcontext=1 exportparm=1,parmname
AB::HighwaySignGenerator::5.0,/obj/AnalysisHolder/probe_65/PrincipledMaterials/mats/Metal_GalvanizedRusty_01/surfaceexports1/bind24,bind,,1,4,medium,overridetype=1 useasparmdefiner=1 useownexportcontext=1 exportparm=1,parmname
AB::HighwaySignGenerator::5.0,/obj/AnalysisHolder/probe_65/PrincipledMaterials/mats/Metal_GalvanizedRusty_01/surfaceexports1/bind25,bind,,1,4,medium,overridetype=1 useasparmdefiner=1 useownexportcontext=1 exportparm=1,parmname
AB::HighwaySignGenerator::5.0,/obj/AnalysisHolder/probe_65/PrincipledMaterials/mats/Metal_GalvanizedRusty_01/surfaceexports1/computelighting1/layerexport10/parm1,parameter,,1,3,medium,hasconnector=0 exportparm=2 invisible=1,parmtype
AB::HighwaySignGenerator::5.0,/obj/AnalysisHolder/probe_65/PrincipledMaterials/mats/Metal_GalvanizedRusty_01/surfaceexports1/computelighting1/layerexport11/parm1,parameter,,1,3,medium,hasconnector=0 exportparm=2 invisible=1,parmtype
